DATE,PAYEMS
2020-01-01,152234
2020-02-01,152523
2020-03-01,150840
2020-04-01,130161
2020-05-01,132994
2020-06-01,137840
2020-07-01,139566
2020-08-01,141149
2020-09-01,141865
2020-10-01,142545
2020-11-01,142809
2020-12-01,142503
2021-01-01,142736
2021-02-01,143272
2021-03-01,144042
2021-04-01,144308
