DATE,CUUR0000SA0R
1937-01-01,709.300
1937-02-01,707.500
1937-03-01,702.400
1937-04-01,699.100
1937-05-01,696.100
1937-06-01,694.300
1937-07-01,691.000
1937-08-01,689.500
1937-09-01,683.200
1937-10-01,686.500
1937-11-01,691.000
1937-12-01,692.800
1938-01-01,702.400
1938-02-01,709.300
1938-03-01,709.300
1938-04-01,705.700
1938-05-01,709.300
1938-06-01,709.300
1938-07-01,707.500
1938-08-01,709.300
1938-09-01,709.300
1938-10-01,712.600
1938-11-01,714.400
1938-12-01,712.600
1939-01-01,715.900
1939-02-01,719.500
1939-03-01,721.300
1939-04-01,722.800
1939-05-01,722.800
1939-06-01,722.800
1939-07-01,722.800
1939-08-01,722.800
1939-09-01,709.300
1939-10-01,712.600
1939-11-01,712.600
1939-12-01,715.900
1940-01-01,717.700
1940-02-01,712.600
1940-03-01,714.400
1940-04-01,714.400
1940-05-01,712.600
1940-06-01,710.800
1940-07-01,712.600
1940-08-01,714.400
1940-09-01,712.600
1940-10-01,712.600
1940-11-01,712.600
1940-12-01,709.300
1941-01-01,709.300
1941-02-01,709.300
1941-03-01,705.700
1941-04-01,699.100
1941-05-01,694.300
1941-06-01,681.800
1941-07-01,678.800
1941-08-01,672.500
1941-09-01,660.800
1941-10-01,653.300
1941-11-01,647.900
1941-12-01,646.400
1942-01-01,638.100
1942-02-01,632.700
1942-03-01,624.900
1942-04-01,621.000
1942-05-01,614.400
1942-06-01,613.200
1942-07-01,610.800
1942-08-01,606.900
1942-09-01,605.700
1942-10-01,599.800
1942-11-01,596.200
1942-12-01,591.400
1943-01-01,591.400
1943-02-01,590.200
1943-03-01,581.200
1943-04-01,574.300
1943-05-01,570.100
1943-06-01,571.000
1943-07-01,575.500
1943-08-01,577.900
1943-09-01,575.500
1943-10-01,573.400
1943-11-01,574.300
1943-12-01,573.400
1944-01-01,574.300
1944-02-01,575.500
1944-03-01,575.500
1944-04-01,572.200
1944-05-01,570.100
1944-06-01,568.900
1944-07-01,565.600
1944-08-01,563.500
1944-09-01,563.500
1944-10-01,563.500
1944-11-01,563.500
1944-12-01,561.400
1945-01-01,561.400
1945-02-01,562.600
1945-03-01,562.600
1945-04-01,561.400
1945-05-01,557.300
1945-06-01,552.200
1945-07-01,551.300
1945-08-01,551.300
1945-09-01,553.100
1945-10-01,553.100
1945-11-01,551.300
1945-12-01,549.200
1946-01-01,549.200
1946-02-01,551.300
1946-03-01,547.100
1946-04-01,544.100
1946-05-01,541.100
1946-06-01,535.400
1946-07-01,505.500
1946-08-01,494.700
1946-09-01,489.000
1946-10-01,479.700
1946-11-01,468.400
1946-12-01,464.800
1947-01-01,464.800
1947-02-01,465.400
1947-03-01,455.500
1947-04-01,455.500
1947-05-01,457.000
1947-06-01,453.400
1947-07-01,449.500
1947-08-01,444.700
1947-09-01,434.300
1947-10-01,434.300
1947-11-01,431.900
1947-12-01,426.500
1948-01-01,421.400
1948-02-01,425.000
1948-03-01,426.500
1948-04-01,420.200
1948-05-01,417.500
1948-06-01,414.500
1948-07-01,409.400
1948-08-01,407.600
1948-09-01,407.600
1948-10-01,409.400
1948-11-01,412.100
1948-12-01,415.100
1949-01-01,415.700
1949-02-01,420.200
1949-03-01,419.300
1949-04-01,418.700
1949-05-01,419.300
1949-06-01,418.700
1949-07-01,421.400
1949-08-01,420.200
1949-09-01,418.700
1949-10-01,420.800
1949-11-01,420.200
1949-12-01,422.600
1950-01-01,424.400
1950-02-01,425.600
1950-03-01,423.800
1950-04-01,423.200
1950-05-01,421.400
1950-06-01,419.300
1950-07-01,415.100
1950-08-01,411.800
1950-09-01,408.800
1950-10-01,406.700
1950-11-01,404.900
1950-12-01,399.500
1951-01-01,393.200
1951-02-01,388.800
1951-03-01,387.300
1951-04-01,386.700
1951-05-01,385.200
1951-06-01,385.800
1951-07-01,385.200
1951-08-01,385.200
1951-09-01,382.800
1951-10-01,380.700
1951-11-01,378.900
1951-12-01,377.400
1952-01-01,377.400
1952-02-01,379.800
1952-03-01,379.800
1952-04-01,378.300
1952-05-01,378.000
1952-06-01,376.800
1952-07-01,374.100
1952-08-01,373.500
1952-09-01,374.100
1952-10-01,373.500
1952-11-01,373.500
1952-12-01,374.100
1953-01-01,375.000
1953-02-01,376.800
1953-03-01,375.900
1953-04-01,375.600
1953-05-01,374.700
1953-06-01,373.200
1953-07-01,372.300
1953-08-01,371.400
1953-09-01,370.800
1953-10-01,369.900
1953-11-01,371.400
1953-12-01,371.700
1954-01-01,370.800
1954-02-01,371.400
1954-03-01,371.700
1954-04-01,372.600
1954-05-01,371.400
1954-06-01,370.800
1954-07-01,370.800
1954-08-01,371.400
1954-09-01,372.300
1954-10-01,373.200
1954-11-01,372.600
1954-12-01,373.500
1955-01-01,373.500
1955-02-01,373.500
1955-03-01,373.500
1955-04-01,373.500
1955-05-01,373.500
1955-06-01,373.500
1955-07-01,372.300
1955-08-01,373.200
1955-09-01,371.700
1955-10-01,371.700
1955-11-01,371.400
1955-12-01,372.300
1956-01-01,372.600
